equipment_id,property_id,installed_on,removed_on,replaced_by
2003215,,2005-05-16,,
2003217,,2005-06-05,,
2004669,100062,,,
2000344,45,2002-05-06,,
2000593,138,2008-02-17,,
2000904,255,2007-12-03,,
2001007,299,2007-04-25,,
2003210,,2002-07-05,,
2003341,,2007-05-01,,
2001033,309,2002-12-09,,
2001404,450,,,
2001952,657,2005-07-24,,
2003102,100127,2003-02-07,,
2003261,,2005-05-21,,
2000880,248,2008-02-09,,
2001970,662,,,
2002871,100045,2008-03-22,,
2003185,,2007-07-20,,
2003265,,2006-06-25,,
2003216,,2005-05-25,,
2003339,,2007-06-01,,
2000617,150,2008-01-06,,
2000621,151,2004-08-02,,
2001248,388,2006-11-21,,
2002040,692,2008-03-09,,
2002449,835,2006-01-10,,
2003255,,2005-05-25,,
2001140,347,2007-11-16,,
2001187,364,2002-11-15,,
2002333,788,,,
2003222,,2006-06-26,,
2003223,,2006-01-12,,
2002359,798,2008-01-03,,
2002872,100045,2008-03-22,,
2003262,,2005-05-29,,
2003266,,2006-06-15,,
2003409,,2008-09-09,,
2003180,,2008-11-26,,
2001329,418,2006-03-15,,
2002458,838,2006-12-09,,
2003354,,2007-04-04,,
2000406,68,2008-02-13,,
2001532,495,2007-01-12,,
2001616,529,2002-09-09,,
2002925,100062,2007-12-06,,
2004658,309,,,
2000816,221,2002-04-18,,
2002231,757,2003-04-17,,
2003192,,2006-08-05,,
2003204,,,,
2003279,,2007-05-31,,
2003291,100343,2008-11-19,,
2004664,511,,,
2001128,343,2006-10-07,,
2002039,692,2008-03-09,,
2003220,,2006-06-11,,
2003258,,2005-05-20,,
2003269,,2006-06-21,,
2000287,23,2002-05-13,,
2001214,374,2008-04-16,,
2003257,,2005-05-19,,
2003403,,2008-06-01,,
2004667,100062,,,
2000819,224,2008-03-06,,
2002248,762,2008-01-27,,
2000999,296,2004-03-27,,
2003200,,1973-06-16,,
2003274,,2006-06-29,,
2004659,309,,,
2003206,,2007-08-17,,
2003224,,2006-06-25,,
2003273,,2006-06-25,,
2000811,219,2007-08-07,,
2001221,377,2005-08-09,,
2002926,100062,2007-12-06,,
2003181,,2008-11-26,,
2003203,,,,
2003394,,2009-02-24,,
2003401,,2008-04-14,,
2003343,,2007-04-05,,
2000295,26,2004-05-03,,
2000994,294,2008-02-23,,
2001974,665,2005-09-14,,
2003197,,2006-08-05,,
2003272,,2006-06-15,,
2001382,439,2006-04-10,,
2001569,513,2005-06-16,,
2002419,824,2008-02-26,,
2003397,,2008-05-15,,
2004663,377,,,
2000065,100062,,,
2002459,839,2007-08-11,,
2002989,100087,,,
2000410,69,2005-03-18,,
2001566,511,2004-07-28,,
2002529,861,2004-08-22,,
2003280,,2007-05-21,,
2003333,,,,
2003226,,,,
2003268,,2006-06-15,,
2003356,,,,
2000491,97,2005-02-17,,
2001545,502,2006-08-06,,
2002268,769,2005-04-05,,
2003183,,,,
2003193,,2006-08-05,,
2003406,,2008-03-13,,
2004661,757,,,
2000882,249,2005-04-14,,
2003173,,2008-11-21,,
2003227,,2007-06-25,,
2003408,,2008-08-08,,
2004665,248,,,
2002475,845,2005-06-13,,
2003108,100129,2008-04-27,,
1000000001,,,,
2000997,295,2003-08-24,,
2001439,461,2004-11-13,,
2001533,495,2007-01-12,,
2003405,,2008-07-14,,
2003404,,2008-05-05,,
2004670,100414,,,
2001531,494,2008-01-27,,
2001661,547,2003-04-13,,
2002067,702,2008-03-24,,
2003089,100122,2007-01-26,,
2003205,,1978-11-15,,
2002126,724,2006-10-12,,
2002873,100045,2008-03-22,,
2004660,100062,,,2004657
2003221,,2006-06-06,,
2003267,,2006-06-17,,
2004668,100062,,,
2004657,23,,,
2003199,,,,
2003218,,2005-06-05,,
2001877,629,2005-09-09,,
2001878,629,2005-09-09,,
2001935,651,2004-10-12,,
2002474,845,2005-06-13,,
2003177,,2007-08-29,,
2002020,685,2005-08-03,,
2003395,,2008-05-30,,
2003402,,2008-06-15,,
2000445,82,2006-04-04,,
2001121,339,2007-04-26,,
2001275,398,2008-03-03,,
2001403,450,,,
2001967,661,2002-04-10,,
2003398,,2008-03-12,,
2000877,246,2003-11-16,,
2002801,100016,2004-08-14,,
2003201,,1978-11-15,,
2003256,,2005-05-16,,
2003338,,2007-06-07,,
2003392,,,,
2003407,,2008-04-09,,
2000407,68,2008-02-13,,
2000949,274,2003-05-22,,
2003207,,1998-02-15,,
2003213,,,,
2003214,,2005-05-15,,
2000469,90,2008-03-08,,
2003002,100092,2003-09-22,,
2003172,,2008-11-26,,
2003271,,2006-06-11,,
2004666,100062,,,
2003219,,2006-06-15,,
2004662,702,,,
2001590,522,,,
2002334,788,,,
2002800,100016,2004-08-14,,
2003176,,2008-11-26,,
2003195,,2006-08-05,,
2000006,,,,
2000345,45,2002-05-06,,
2003263,,2005-06-02,,
2003275,,2006-06-11,,
